team_name,season,team_total_points_rank
Jaipur Pink Panthers,1,1
U Mumba,1,2
Patna Pirates,1,3
Bengaluru Bulls,1,4
Telugu Titans,1,5
Dabang Delhi K.C.,1,6
Bengal Warriors,1,7
Puneri Paltan,1,8
Telugu Titans,2,1
Bengaluru Bulls,2,2
U Mumba,2,3
Patna Pirates,2,4
Jaipur Pink Panthers,2,5
Dabang Delhi K.C.,2,6
Puneri Paltan,2,7
Bengal Warriors,2,8
Patna Pirates,3,1
Puneri Paltan,3,2
U Mumba,3,3
Bengal Warriors,3,4
Telugu Titans,3,5
Dabang Delhi K.C.,3,6
Jaipur Pink Panthers,3,7
Bengaluru Bulls,3,8
Puneri Paltan,4,1
Telugu Titans,4,2
Patna Pirates,4,3
Jaipur Pink Panthers,4,4
Dabang Delhi K.C.,4,5
U Mumba,4,6
Bengal Warriors,4,7
Bengaluru Bulls,4,8
Patna Pirates,8,1
Gujarat Fortunegiants,8,2
Puneri Paltan,8,3
U.P. Yoddha,8,4
Bengal Warriors,8,5
Haryana Steelers,8,6
U Mumba,8,7
Telugu Titans,8,8
Bengaluru Bulls,8,9
Tamil Thalaivas,8,10
Jaipur Pink Panthers,8,11
Dabang Delhi K.C.,8,12
Bengaluru Bulls,26,1
Gujarat Fortunegiants,26,2
U Mumba,26,3
Dabang Delhi K.C.,26,4
U.P. Yoddha,26,5
Patna Pirates,26,6
Bengal Warriors,26,7
Haryana Steelers,26,8
Jaipur Pink Panthers,26,9
Tamil Thalaivas,26,10
Puneri Paltan,26,11
Telugu Titans,26,12
Bengal Warriors,49,1
Bengaluru Bulls,49,2
Dabang Delhi K.C.,49,3
Patna Pirates,49,4
Haryana Steelers,49,5
U Mumba,49,6
Jaipur Pink Panthers,49,7
Tamil Thalaivas,49,8
Puneri Paltan,49,9
Telugu Titans,49,10
Gujarat Fortunegiants,49,11
U.P. Yoddha,49,12
